,author,date,filename,gender,nationality,title,words,modernist
229,Lyman Frank Baum,1908,1908 dorothy and the wizard in oz.txt,m,a,Dorothy and the Wizard of Oz,41929.0,n
230,Ralph Connor,1909,1909 the foreigner.txt,m,c,The Foreigner,86416.0,n
231,Gilbert Parker,1909,1909 northern lights.txt,m,c,Northern Lights,112578.0,n
232,Jerome Kapla Jerome,1909,1909 they and i.txt,m,b,They and I,70111.0,n
233,Frances Burnett,1909,1909 the secret garden.txt,f,a,The Secret Garden,81019.0,n
234,Emerson Hough,1909,1909 54-40 or fight!.txt,m,a,54-40 or Fight!,89517.0,n
235,Kate Douglas Wiggin,1909,1909 homespun tales.txt,f,a,Homespun Tales,72208.0,n
236,Henry Rider Haggard,1909,1909 the lady of blossholme.txt,m,b,The Lady of Blossholme,95177.0,n
237,Henry Rider Haggard,1910,1910 queen sheba's ring.txt,m,b,Queen Sheba’s Ring,102011.0,n
238,Emerson Hough,1910,1910 the purchase price.txt,m,a,The Purchase Price,89191.0,n
239,Henry Rider Haggard,1910,1910 morning star.txt,m,b,Morning Star,85399.0,n
240,Robert Barr,1910,1910 the sword maker.txt,m,c,The Sword Maker,112032.0,n
241,Lyman Frank Baum,1910,1910 the emerald city of oz.txt,m,a,The Emerald City of Oz,53615.0,n
242,Edith Wharton,1911,1911 ethan frome.txt,f,a,Ethan Forme,34800.0,n
243,Lyman Frank Baum,1911,1911 aunt jane's nieces and uncle john.txt,m,a,Aunt Jane’s Nieces and Uncle John,43163.0,n
244,Andy Adams,1911,1911 wells brothers.txt,m,a,Wells Brothers,74340.0,n
245,Irving Bacheller,1911,1911 keeping up with lizzie.txt,m,a,Keeping up with Lizzie,21161.0,n
246,Marie Corelli,1911,1911 the life everlasting.txt,f,b,The Life Everlasting,131136.0,n
247,Mrs. Humphrey Ward,1911,1911 the case of richard meynell.txt,f,b,The Case of Richard Meynell,154219.0,n
248,Kate Douglas Wiggin,1911,1911 mother carey's chickens.txt,f,a,Mother Carey’s Chickens,72712.0,n
249,Arthur Conan Doyle,1912,1912 the lost world.txt,m,b,The Lost World,75895.0,n
250,Lyman Frank Baum,1912,1912 aunt jane's nieces on vacation.txt,m,a,Aunt Jane’s Nieces on Vacation,48726.0,n
251,Lyman Frank Baum,1912,1912 sky island.txt,m,a,Sky Island,54728.0,n
252,Edith Wharton,1912,1912 the reef.txt,f,a,The Reef,96913.0,n
253,Ralph Connor,1912,1912 corporal cameron of the north west mounted police.txt,m,c,Corporal Cameron of the North West Mounted Police,124859.0,n
254,Mrs. Humphrey Ward,1913,1913 the coryston family.txt,f,b,The Coryston Family,86478.0,n
255,Ralph Connor,1913,1913 the patrol of the sundance trail.txt,m,c,The Patrol of the Sundance Trail,94139.0,n
256,Edith Wharton,1913,1913 the custom of the country.txt,f,a,The Custom of the Country,140208.0,n
257,Arthur Conan Doyle,1913,1913 the poison belt.txt,m,b,The Poison Belt,29309.0,n
258,Mrs. Humphrey Ward,1913,1913 the mating of lydia.txt,f,b,The Mating of Lydia,132682.0,n
259,Frances Burnett,1913,1913 t tembarom.txt,f,a,T. Tembarom,181625.0,n
260,Hall Caine,1913,1913 the woman thou gavest me.txt,m,b,The Woman thou gavest me,240447.0,n
261,Henry Seton Merriman,1913,1913 roden's corner.txt,m,b,Roden’s Corner,84209.0,n
262,Gilbert Parker,1913,1913 the judgment house.txt,m,c,The Judgment House,149003.0,n
263,Mrs. Humphrey Ward,1914,1914 delia blanchflower.txt,f,b,Delia Blanchflower,109089.0,n
264,Frances Burnett,1914,1914 the lost prince.txt,f,a,The Lost Prince,99915.0,n
265,Marie Corelli,1914,1914 innocent.txt,f,b,Innocent,127162.0,n
266,Kate Douglas Wiggin,1914,1914 a summer in a canyon.txt,f,a,A Summer in a Canyon,54177.0,n
267,Mrs. Humphrey Ward,1915,1915 a great success.txt,f,b,A Great Success,32605.0,n
268,Kate Douglas Wiggin,1915,1915 penelope's postscripts.txt,f,a,Penelope’s Postscripts,30283.0,n
269,Lyman Frank Baum,1915,1915 the scarecrow of oz.txt,m,a,The Scarecrow of Oz,46035.0,n
270,Lyman Frank Baum,1916,1916 mary louise.txt,m,a,Mary Louise,46302.0,n
271,Mrs. Humphrey Ward,1916,1916 lady connie.txt,f,b,Lady Connie,115572.0,n
272,Ralph Connor,1917,1917 the major.txt,m,c,The Major,118678.0,n
273,Edith Wharton,1917,1917 summer.txt,f,a,Summer,57421.0,n
274,Irving Bacheller,1917,1917 the light in the clearing.txt,m,a,The Light in the Clearing,91703.0,n
275,Gertrude Atherton,1918,1918 the white morning.txt,f,a,The White Morning,32855.0,n
276,Gilbert Parker,1918,1918 wild youth.txt,m,c,Wild Youth,46642.0,n
277,Gilbert Parker,1918,1918 the world for sale.txt,m,c,The World for Sale,103899.0,n
278,Emerson Hough,1918,1918 the passing of the frontier.txt,m,a,The Passing of the Frontier,35781.0,n
279,Gertrude Atherton,1919,1919 the avalanche.txt,f,a,The Avalanche,41524.0,n
280,Jerome Kapla Jerome,1919,1919 all roads lead to calvary.txt,m,b,All Roads Lead to Calvary,92235.0,n
281,Edith Wharton,1920,1920 the age of innocence.txt,f,a,The Age of Innocence,102424.0,n
282,Frances Burnett,1920,1920 the white people.txt,f,a,The White People,21477.0,n
283,Marie Corelli,1921,1921 the secret power.txt,f,b,The Secret Power,93982.0,n
284,Gilbert Parker,1921,1921 no defence.txt,m,c,No Defence,84081.0,n
285,Gertrude Atherton,1921,1921 the sisters-in-law.txt,f,a,The Sisters-in-Law,112786.0,n
286,Ralph Connor,1921,1921 to him that hath.txt,m,c,To Him that Hath,80056.0,n
287,Irving Bacheller,1922,1922 in the days of poor richard.txt,m,a,In the Days of Poor Richard,101025.0,n
288,Gertrude Atherton,1922,1922 sleeping fires.txt,f,a,Sleeping Fires,53262.0,n
289,Edith Wharton,1922,1922 the glimpses of the moon.txt,f,a,The Glimpses of the Moon,83127.0,n
290,Emerson Hough,1922,1922 the covered wagon.txt,m,a,The Covered Wagon,87144.0,n
0,Henry Mackenzie,1771,1771_Mackenzie_Henry_TheManofFeeling_Novel.txt,m,b,The Man of Feeling,36734,n
1,Tobias Smollett,1771,1771_Smollett_Tobias_TheExpedictionofHenryClinker_Novel.txt,m,b,The Expediction of Henry Clinker,148355,n
2,Fanny Burney,1778,1778_Burney_Fanny_Evelina_Novel.txt,f,b,Evelina,154238,n
3,Fanny Burney,1782,1782_Burney_Fanny_Cecilia_Novel.txt,f,b,Cecilia,329151,n
4,William Beckford,1786,1786_Beckford_William_Vathek_Novel.txt,m,b,Vathek,36089,n
5,Mary Wollstonecraft,1788,1788_Wollstonecraft_Mary_Mary_Novel.txt,f,b,Mary,23275,n
6,Ann Radcliffe,1790,1790_Radcliffe_Ann_ASicilianRomance_Novel.txt,f,b,ASicilian Romance,67460,n
7,Susanna Rowson,1794,1794_Rowson_Susanna_CharlotteTemple_Novel.txt,f,b,Charlotte Temple,36551,n
8,Ann Radcliffe,1794,1794_Radcliffe_Ann_TheMysteriesofUdolpho_Novel.txt,f,b,The Mysteries of Udolpho,290346,n
9,William Godwin,1794,1794_Godwin_William_CalebWilliams_Novel.txt,m,b,Caleb Williams,143857,n
10,Matthew Lewis,1795,1795_Lewis_Matthew_TheMonk_Novel.txt,m,b,The Monk,136410,n
11,Fanny Burney,1796,1796_Burney_Fanny_Camilla_Novel.txt,f,b,Camilla,356436,n
12,Elizabeth Bonhote,1796,1796_Bonhote_Elizabeth_BungayCastle_Novel.txt,f,b,Bungay Castle,86431,n
13,Mary Hays,1796,1796_Hays_Mary_EmmaCourtney_Novel.txt,f,b,Emma Courtney,62731,n
14,Hannah Webster Foster,1797,1797_Foster_HannahWebster_TheCoquette_Novel.txt,f,a,The Coquette,52925,n
15,Mary Wollstonecraft,1798,1798_Wollstonecraft_Mary_Maria_Novel.txt,m,b,Maria,44541,n
16,Charles Brockden Brown,1798,1798_Brown_CharlesBrockden_Wieland_Novel.txt,m,a,Wieland,82300,n
17,Charles Brockden Brown,1799,1799_Brown_CharlesBrockden_ArthurMervyn_Novel.txt,m,a,Arthur Mervyn,148822,n
18,Maria Edgeworth,1800,1800_Edgeworth_Maria_CastleRackrent_Novel.txt,f,b,Castle Rackrent,35653,n
19,Maria Edgeworth,1801,1801_Edgeworth_Maria_Belinda_Novel.txt,f,b,Belinda,177748,n
20,Amelia Opie,1804,1804_Opie_Amelia_AdelineMowbray_Novel.txt,f,b,Adeline Mowbray,106106,n
21,Matthew Lewis,1805,1805_Lewis_Matthew_TheBravoofVenice_Novel.txt,m,b,The Bravo of Venice,33104,n
22,Maria Edgeworth,1806,1806_Edgeworth_Maria_Leonora_Novel.txt,f,b,Leonora,65869,n
23,Hannah More,1809,1809_More_Hannah_CoelebsinSearchofaWife_Novel.txt,f,b,Coelebs in Search of a Wife,136615,n
24,Jane Austen,1811,1811_Austen_Jane_SenseandSensibility_Novel.txt,f,b,Senseand Sensibility,118564,n
25,Jane Austen,1813,1813_Austen_Jane_PrideandPrejudice_Novel.txt,f,b,Prideand Prejudice,121793,n
26,Jane Austen,1814,1814_Austen_Jane_MansfieldPark_Novel.txt,f,b,Mansfield Park,159533,n
27,Walter Scott,1814,1814_Scott_Walter_Waverley_Novel.txt,m,b,Waverley,195119,n
28,Thomas Love Peacock,1815,1815_Peacock_ThomasLove_HeadlongHall_Novel.txt,m,b,Headlong Hall,27263,n
29,Walter Scott,1817,1817_Scott_Walter_RobRoy_Novel.txt,m,b,Rob Roy,158929,n
30,Thomas Love Peacock,1818,1818_Peacock_ThomasLove_NightmareAbbey_Novel.txt,m,b,Nightmare Abbey,26650,n
31,Mary Shelley,1818,1818_Shelley_Mary_Frankenstein_Novel.txt,f,b,Frankenstein,75584,n
32,Mary Shelley,1819,1819_Shelley_Mary_Mathilda_Novel.txt,f,b,Mathilda,38443,n
33,Walter Scott,1820,1820_Scott_Walter_Ivanhoe_Novel.txt,m,a,Ivanhoe,175138,n
34,John Galt,1821,1821_Galt_John_AnnalsoftheParish_Novel.txt,m,b,Annals of the Parish,65448,n
35,Thomas Love Peacock,1821,1821_Peacock_ThomasLove_MaidMarian_Novel.txt,m,b,Maid Marian,35746,n
36,James Hogg,1822,1822_Hogg_James_ThreePerilsofMan_Novel.txt,m,b,Three Perils of Man,211542,n
37,James Fenimore Cooper,1823,1823_Cooper_JamesFenimore_ThePioneers_Novel.txt,m,a,The Pioneers,169965,n
38,James Fenimore Cooper,1826,1826_Cooper_JameFenimore_TheLastoftheMohicans_Novel.txt,m,a,The Last of the Mohicans,146915,n
39,Benjamin Disraeli,1826,1826_Disraeli_Benjamin_VivianGrey_Novel.txt,m,b,Vivian Grey,192121,n
40,Lydia Child,1836,1836_Child_Lydia_Philothea_Novel.txt,f,a,Philothea,73040,n
41,Benjamin Disraeli,1837,1837_Disraeli_Benjamin_Venetia_Novel.txt,m,b,Venetia,160517,n
42,FrancesMilton Trollope,1837,1837_Trollope_FrancesMilton_TheVicarofWrexham_Novel.txt,f,b,The Vicar of Wrexham,168875,n
43,Edgar Allen Poe,1838,1838_Poe_EdgarAllen_TheNarrativeofArthurGordonPym_Novel.txt,m,a,The Narrative of Arthur Gordon Pym,99531,n
44,Harriet Martineau,1838,1838_Martineau_Harriet_Deerbrook_Novel.txt,f,b,Deerbrook,220828,n
45,George Borrow,1843,1843_Borrow_George_TheBibleinSpain_Novel.txt,m,b,The Bible in Spain,220514,n
46,Charlotte Yonge,1844,1844_Yonge_Charlotte_Abbeychurch_Novel.txt,f,b,Abbeychurch,72563,n
47,William Thackeray,1847,1847_Thackeray_William_VanityFair_Novel.txt,m,b,Vanity Fair,301908,n
48,Charlotte Bronte,1847,1847_Bronte_Charlotte_JaneEyre_Novel.txt,f,b,Jane Eyre,184441,n
49,Grace Aguilar,1847,1847_Aguilar_Grace_HomeInfluence_Novel.txt,f,b,Home Influence,170373,n
50,Emily Bronte,1847,1847_Bronte_Emily_WutheringHeights_Novel.txt,f,b,Wuthering Heights,115899,n
51,Ann Bronte,1848,1848_Bronte_Ann_TheTenantofWildfellHall_Novel.txt,f,b,The Tenant of Wildfell Hall,164513,n
52,Elizabeth Gaskell,1848,1848_Gaskell_Elizabeth_MaryBarton_Novel.txt,f,b,Mary Barton,160460,n
53,Charles Kingsley,1849,1849_Kingsley_Charles_AltonLocke_Novel.txt,m,b,Alton Locke,167976,n
54,Nathaniel Hawthorne,1850,1850_Hawthorne_Nathaniel_TheScarletLetter_Novel.txt,m,a,The Scarlet Letter,82909,n
55,Charlotte Yonge,1850,1850_Yonge_Charlotte_Henrietta'sWish_Novel.txt,f,b,Henrietta's Wish,87639,n
56,Grace Aguilar,1850,1850_Aguilar_Grace_ValeofCedars_Novel.txt,f,b,Vale of Cedars,92608,n
57,Nathaniel Hawthorne,1851,1851_Hawthorne_Nathaniel_TheHouseoftheSevenGables_Novel.txt,m,a,The House of the Seven Gables,102232,n
58,Hermann Melville,1851,1851_Melville_Hermann_MobyDick_Novel.txt,m,a,Moby Dick,212020,n
59,Wilkie Collins,1852,1852_Collins_Wilkie_Basil_Novel.txt,m,b,Basil,113788,n
60,Charlotte Yonge,1853,1853_Yonge_Charlotte_TheHeirofRedcliffe_Novel.txt,f,b,The Heir of Redcliffe,233776,n
61,Charles Kingsley,1853,1853_Kingsley_Charles_Hypatia_Novel.txt,m,b,Hypatia,162593,n
62,Harriet Beecher Stowe,1853,1853_Stowe_HarrietBeecher_UncleTom'sCabin_Novel.txt,f,a,Uncle Tom's Cabin,180602,n
63,Dinah Craik,1853,1853_Craik_Dinah_Agatha'sHusband_Novel.txt,f,b,Agatha's Husband,136288,n
64,Elizabeth Gaskell,1854,1854_Gaskell_Elizabeth_NorthandSouth_Novel.txt,f,b,North and South,181294,n
65,Frances Milton Trollope,1855,1855_Trollope_FrancesMilton_TheWidowBarnaby_Novel.txt,f,b,The Widow Barnaby,196197,n
66,Dinah Craik,1856,1856_Craik_Dinah_JohnHalifax_Novel.txt,f,b,John Halifax,174689,n
67,Anthony Trollope,1857,1857_Trollope_Anthony_BarchesterTowers_Novel.txt,m,b,Barchester Towers,197411,n
68,Charles Dickens,1859,1859_Dickens_Charles_ATaleofTwoCities_Novel.txt,m,b,A Tale of Two Cities,135601,n
69,George Eliot,1860,1860_Eliot_George_TheMillontheFloss_Novel.txt,f,b,The Mill on the Floss,206036,n
70,Wilkie Collins,1860,1860_Collins_Wilkie_TheWomaninWhite_Novel.txt,m,b,The Woman in White,244609,n
71,Charles Dickens,1861,1861_Dickens_Charles_GreatExpectations_Novel.txt,m,b,Great Expectations,184419,n
72,Mary Braddon,1862,1862_Braddon_Mary_LadyAudley'sSecret_Novel.txt,f,b,Lady Audley's Secret,147980,n
73,George Eliot,1862,1862_Eliot_George_Romola_Novel.txt,f,b,Romola,226661,n
74,Mary Braddon,1864,1864_Braddon_Mary_HenryDunbar_Novel.txt,f,b,Henry Dunbar,155261,n
75,Lewis Carroll,1865,1865_Carroll_Lewis_Alice'sAdventureinWonderland_Novel.txt,m,b,Alice's Adventure in Wonderland,26422,n
76,Louisa Alcott,1869,1869_Alcott_Louisa_LittleWomen_Novel.txt,f,a,Little Women,185882,n
77,R.D. Blackmore,1869,1869_Blackmore_R.D._LornaDoone_Novel.txt,m,b,Lorna Doone,271644,n
78,Anthony Trollope,1869,1869_Trollope_Anthony_PhineasFinn_Novel.txt,m,b,Phineas Finn,260765,n
79,Lewis Carroll,1871,1871_Carroll_Lewis_ThroughtheLookingGlass.txt,m,b,Through the Looking Glass.txt,29257,n
80,Thomas Hardy,1874,1874_Hardy_Thomas_FarFromtheMaddingCrowd_Novel.txt,m,b,Far From the Madding Crowd,138344,n
81,Mark Twain,1876,1876_Twain_Mark_TheAdventuresofTomSawyer_Novel.txt,m,a,The Adventures of Tom Sawyer,70136,n
82,Frances Eleanor Trollope,1876,1876_Trollope_FrancesEleanor_ACharmingFellow_Novel.txt,f,b,A Charming Fellow,182524,n
83,Anna Sewell,1877,1877_Sewell_Anna_BlackBeauty_Novel.txt,f,a,Black Beauty,59684,n
84,Henry James,1881,1881_James_Henry_PortraitofaLady_Novel.txt,m,b,Portrait of a Lady,223810,n
85,Robert Louis Stevenson,1882,1882_Stevenson_RobertLouis_TreasureIsland_Novel.txt,m,b,Treasure Island,67968,n
86,Mary Braddon,1883,1883_Braddon_Mary_TheGoldenCalf_Novel.txt,f,b,The Golden Calf,160165,n
87,Mark Twain,1884,1884_Twain_Mark_TheAdventuresofHuckleberryFinn_Novel.txt,m,a,The Adventures of Huckleberry Finn,110124,n
88,Edna Lyall,1884,1884_Lyall_Edna_WeTwo_Novel.txt,f,b,WeTwo,170206,n
89,Amelia Barr,1885,1885_Barr_Amelia_JanVeeder'sWife_Novel.txt,f,b,Jan Veeder's Wife,64733,n
90,Robert Louis Stevenson,1886,1886_Stevenson_RobertLouis_JekyllandHyde_Novel.txt,m,b,Jekyll and Hyde,25706,n
91,Edward Bellamy,1887,1887_Bellamy_Edward_LookingBackward_Novel.txt,m,a,Looking Backward,78303,n
92,Mrs. Humphry Ward,1888,1888_Ward_Mrs.Humphry_RobertElsmere_Novel.txt,f,b,Robert Elsmere,286424,n
93,Frances Eleanor Trollope,1888,1888_Trollope_FrancesEleanor_ThatUnfortunateMarriage_Novel.txt,f,b,That Unfortunate Marriage,167880,n
94,ArthurConan Doyle,1889,1889_Doyle_ArthurConan_TheMysteryoftheCloomber_Novel.txt,m,b,The Mystery of the Cloomber,48754,n
95,Rhoda Broughton,1890,1890_Broughton_Rhoda_Alas!_Novel.txt,f,b,Alas!,149402,n
96,Kate Chopin,1890,1890_Chopin_Kate_AtFault_Novel.txt,f,a,At Fault,57557,n
97,Oscar Wilde,1890,1890_Wilde_Oscar_ThePictureofDorianGray_Novel.txt,m,b,The Picture of Dorian Gray,78924,n
98,ArthurConan Doyle,1891,1891_Doyle_ArthurConan_TheDoingsofRafflesHaw_Novel.txt,m,b,The Doings of Raffles Haw,37948,n
99,George Gissing,1891,1891_Gissing_George_NewGrubStreet_Novel.txt,m,b,New Grub Street,185603,n
100,Thomas Hardy,1891,1891_Hardy_Thomas_TessoftheD'Urbervilles_Novel.txt,m,b,Tess of the D'Urbervilles,148562,n
101,Beatrice Harraden,1893,1893_Harraden_Beatrice_ShipsThatPassintheNight_Novel.txt,f,b,Ships That Pass in the Night,37447,n
102,Sarah Grand,1893,1893_Grand_Sarah_TheHeavenlyTwins_Novel.txt,f,b,The Heavenly Twins,280644,n
103,George Gissing,1893,1893_Gissing_George_TheOddWomen_Novel.txt,m,b,The Odd Women,138062,n
104,Mary Wilkins Freeman,1894,1894_Freeman_MaryWilkins_Pembroke_Novel.txt,f,a,Pembroke,78862,n
105,Anthony Hope,1894,1894_Hope_Anthony_ThePrisonerofZenda_Novel.txt,m,b,The Prisonerof Zenda,53568,n
106,Rudyard Kipling,1894,1894_Kipling_Rudyard_TheJungleBook_Novel.txt,m,b,The Jungle Book,51460,n
107,Stephen Crane,1895,1895_Crane_Stephen_TheRedBadgeofCourage_Novel.txt,m,a,The Red Badgeof Courage,46074,n
108,H.G. Wells,1895,1895_Wells_H.G._TheTimeMachine_Novel.txt,m,b,The Time Machine,32298,m
109,Bram Stoker,1897,1897_Stoker_Bram_Dracula_Novel.txt,m,b,Dracula,160403,n
110,SR Crockett,1898,1898_Crockett_SR_TheRedAxe_Novel.txt,m,b,The Red Axe,110598,n
111,Joseph Conrad,1899,1899_Conrad_Joseph_HeartofDarkness_Novel.txt,m,b,Heart of Darkness,37902,n
112,Kate Chopin,1899,1899_Chopin_Kate_TheAwakening_Novel.txt,f,a,The Awakening,49702,n
113,Theodore Dreiser,1900,1900_Dreiser_Theodore_SisterCarrie_Novel.txt,m,a,Sister Carrie,156087,n
114,Amelia Barr,1900,1900_Barr_Amelia_TheMaidofMaidenLane_Novel.txt,f,b,The Maid of Maiden Lane,80383,n
115,Rudyard Kipling,1900,1900_Kipling_Rudyard_Kim_Novel.txt,m,b,Kim,105115,n
116,Frank Norris,1901,1901_Norris_Frank_TheOctopus_Novel.txt,m,a,The Octopus,195687,n
117,Arnold Bennett,1902,1902_Bennett_Arnold_GrandBabylonHotel_Novel.txt,m,b,Grand Babylon Hotel,67515,n
118,Edward Bellamy,1902,1902_Bellamy_Edward_Eleonora_Novel.txt,m,a,Eleonora,72824,n
119,Henry James,1903,1903_James_Henry_TheAmbassadors_Novel.txt,m,b,The Ambassadors,154785,n
120,Jack London,1903,1903_London_Jack_TheCalloftheWild_Novel.txt,m,a,The Call of the Wild,31765,n
121,Frank Norris,1903,1903_Norris_Frank_ThePit_Novel.txt,m,a,The Pit,123886,n
122,MaryNoailles Murfree,1904,1904_Murfree_MaryNoailles_TheFrontiersman_Novel.txt,f,a,The Frontiersman,65563,n
123,Edith Wharton,1905,1905_Wharton_Edith_TheHouseofMirth_Novel.txt,f,a,The House of Mirth,129127,n
124,Emma Orczy,1905,1905_Orczy_Emma_TheScarletPimpernel_Novel.txt,f,b,The Scarlet Pimpernel,85296,n
125,Jack London,1906,1906_London_Jack_WhiteFang_Novel.txt,m,a,White Fang,72009,n
126,Gertrude Stein,1906,1906_Stein_Gertrude_ThreeLives_Novel.txt,f,a,Three Lives,86050,m
127,Upton Sinclair,1906,1906_Sinclair_Upton_TheJungle_Novel.txt,m,a,The Jungle,149113,n
128,E.M. Forster,1908,1908_Forster_E.M._ARoomWithaView_Novel.txt,m,b,A Room With a View,66447,m
129,E.M. Forster,1910,1910_Forster_E.M._HowardsEnd_Novel.txt,m,b,Howards End,108705,m
130,J.M. Barrie,1911,1911_Barrie_J.M._PeterPan_Novel.txt,m,b,Peter Pan,47328,m
131,Edith Wharton,1911,1911_Wharton_Edith_EthanFrome_Novel.txt,f,a,Ethan Frome,34703,n
132,Willa Cather,1912,1912_Cather_Willa_Alexander'sBridge_Novel.txt,f,a,Alexander's Bridge,27139,m
133,Theodore Dreiser,1912,1912_Dreiser_Theodore_TheFinancier_Novel.txt,m,a,The Financier,193345,n
134,D.H. Lawrence,1913,1913_Lawrence_D.H._SonsandLovers_Novel.txt,m,b,Sons and Lovers,160124,m
135,FordMadox Ford,1915,1915_Ford_FordMadox_TheGoodSoldier_Novel.txt,m,b,The Good Soldier,75187,m
136,James Joyce,1916,1916_Joyce_James_APortraitoftheArtistasaYoungMan_Novel.txt,m,b,A Portrait of the Artist as a Young Man,84770,m
137,Sinclair Lewis,1917,1917_Lewis_Sinclair_TheInnocents_Novel.txt,f,a,The Innocents,41389,n
138,Mary Webb,1917,1917_Webb_Mary_GonetoEart_Novel.txt,f,b,Gone to Eart,81562,n
139,Abraham Cahan,1917,1917_Cahan_Abraham_TheRiseofDavidLevinsky_Novel.txt,m,a,The Rise of David Levinsky,168861,n
140,Sinclair Lewis,1918,1918_Lewis_Sinclai_TheJob_Nove.txt,m,a,The Job,90518,n
141,Edith Wharton,1920,1920_Wharton_Edith_TheAgeofInnocence_Novel.txt,f,a,The Age of Innocence,101252,n
142,FScott Fitzgerald,1920,1920_Fitzgerald_FScott_ThisSideofParadise_Novel.txt,m,a,This Side of Paradise,71084,m
143,John DosPassos,1920,1920_DosPassos_John_ThreeSoldiers_Novel.txt,m,a,Three Soldiers,133852,m
144,James Joyce,1922,1922_Joyce_James_Ulysses_Novel.txt,m,b,Ulysses,264868,m
145,FScott Fitzgerald,1922,1922_Fitzgerald_FScott_TheBeautifulandtheDamned_Novel.txt,m,a,The Beautiful and the Damned,123514,m
146,Virginia Woolf,1925,1925_Woolf_Virginia_Mrs.Dalloway_Novel.txt,f,b,Mrs. Dalloway,63492,m
147,Virginia Woolf,1927,1927_Woolf_Virginia_TotheLighthouse_Novel.txt,f,b,To the Lighthouse,69322,m
148,Virginia Woolf,1928,1928_Woolf_Virginia_Orlando_Novel.txt,f,b,Orlando,78411,m
149,Katherine Mansfield,1930,1930_Mansfield_Katherine_TheAloe_Novel.txt,f,b,The Aloe,26044,m
